fleXive
Jspx
OpenXava
crawler4j
Apache Nutch
HK2
Dagger
AppFuse
JLisa
Drools
Easy Rules
jBPM
Jeddict
ActFramework
Activiti
Akka
Android Plot
Apache Accumulo
Apache ActiveMQ
Apache Avalon
Apache Avro
Apache Axis
Apache Blur
Apache BookKeeper
Apache Camel
Apache Cayenne
Apache Click
Apache Cocoon
Apache Commons
Apache Crunch
Apache CXF
Apache DataFu
Apache Empire DB
Apache Felix
Apache Flume
Apache Geronimo
Apache Giraph
Apache Hadoop
Apache HBase
Apache Hive
Apache JackRabbit
Apache JavaNlp
Apache Jena
Apache Kafka
Apache Log4j
Apache Lucene
Apache Mahout
Apache Mesos
Apache Mina
Apache OODT
Apache Oozie
Apache OpenNLP
Apache PDFBox
Apache Pig
Apache Pivot
Apache POI
Apache Qpid
Apache River (Jini)
Apache Samza
Apache Shiro
Apache Sling
Apache Solr
Apache Spark
Apache Storm
Apache Struts
Apache Tapestry
Apache Tika
Apache Tomcat
Apache Turbine
Apache Uima
Apache UserGrid
Apache Velocity
Apache VXQuery
Apache Wink
Apache Xerces
Apache Zookeeper
Axon
Barracuda
Beads
Birt
BigFaceless
BioJava
BlueCove
Bouncy Castle Cryptographic
Cascading
Checker
CogCompNLP
CodeName One
ControlsFX
Deeplearning4j
DirectWebRemoting
DropWizard Jersey
EclipseLink
EHCache
Ejml (Efficient Java Matrix Library)
Facebook4j
FMJ
Frame4j
FreeMarker Template
GCViewer
GeoApi
GeoTools
GlassFish
Google Gson
Google Guava
Google Guice
Google Web Toolkit (GWT)
GStreamer
GXT
Hibernate
HSQLDB
iBatis
Infinispan
IText
JackCess
Jackson
Java Media Framework
JavAssist
Javers
JaxP
JBoss Seam
JCabi
JDom
Jello
Jersey
Jetty
JFreeChart
JideSoft
JMock
JMonkeyEngine
Joda Time
JogAmp
Jooby
Jppf
JProfiler
JRockit
JSF
JsonLib
JSoup
JSyn
JTS Topology
JUnit
LiquiBase
LogBack
Lombok
LoopJ
LWJGL
MapDB
Mockito
MyBatis
ND4J
Netty
Neuroph
Ninja
OpenCSV
OpenCV
Oracle WebLogic
OrientDB
ORMLite
PI4J
Play
PrimeFaces
Quartz
Quasar
RabbitMQ
Ratpack
Reactor
RESTeasy
RestFB
Restlet
Sax
ScribeJava
Selenide
Selenium
SLF4J
Slick2D
Smack
SonarLint
SonarQube
Jasper Reports
Spock
Spring AMQP
Spring Android
Spring AOP(Aspect Oriented Programming)
Spring Batch
Spring Boot
Spring Core
Spring Data
Spring Data JDBC Extensions
Spring Data MongoDB
Spring Data Neo4j
Spring Hateoas
Spring Integration
Spring LDAP
Spring MVC
Spring Roo
Spring Security
Spring Session
Spring Social
Spring XD
Stormpath
StringTemplate
SuanShu
TestNG
Thymeleaf
Twitter4J
Vaadin
Vertx
VRaptor
WildFly
WordCram
WSO2 API Manager
WSO2 App Manager
WSO2 ESB
WSO2 Governance Registry
WSO2 Identity Server
WSO2 Machine Learner
WSO2 Message Broker
Xuggler
ZKoss
Prova
OpenRules
JRuleEngine
Jess
