Apache JMeterApica LoadTest
AppLoader
Appvance
AscentialTest
AutoIt
CloudTest
eggPlant Functional
Gatling
HP WinRunner
Httperf
HttpMaster
IcuTest
iMacros
Linux Desktop Testing Project
LoadComplete
LoadImpact
LoadRunner
LoadUI NG Pro
LoadView
Loadster
Loadstorm
Maveryx
NeoLoad
OpenSTA
Oracle Application Testing Suite
Postman
QEngine (ManageEngine)
QF-Test
QTP
Ranorex
Rapise
Rational Functional Tester
Runscope
Selenium IDE
SilkTest
SOAPSonar
SoapUI
SOAtest
Squish GUI Tester
Storm
Test Studio
TestComplete
Testing Anywhere
TestingWhiz
TestMaker
TestPartner
Tricentis Tosca
Twist
UFT
Visual Studio Coded UI Test
vRest
WAPT
Watir
WebInject
WebLOAD
Xnee
