Constraint programming
Cassowary (software)
CHR.js
DOM (manipulation) oriented
Dojo Toolkit
jQuery
midori
MooTools
Prototype JavaScript Framework
React
Graphical/visualization (canvas or SVG related)
AnyChart
D3.js
Highcharts
"EaselJS, part of CreateJS"
JavaScript InfoVis Toolkit
p5.js
Pixi.js
Plotly
Processing.js
Raphaël
SWFObject
Three.js
Velocity.js
WhitestormJS
GUI-related (widget)
AngularJS (framework)
Bootstrap
DevExtreme of DevExpress
DHTMLX
Dojo Widgets
Ext JS of Sencha
ZURB Foundation
Google's Polymer paper elements
jQuery UI
jQWidgets
Ignite UI of Infragistics
Kendo UI of Telerik
Wijmo 5 of GrapeCity
OpenUI5 of SAP
qooxdoo
SmartClient
Webix
WinJS
Gijgo
No longer actively developed
Ample SDK
Glow
Lively Kernel
Script.aculo.us
YUI Library
Pure JavaScript/Ajax
Google Closure Library
Joose
JsPHP
Microsoft's Ajax library
MochiKit
PDF.js
Rico
Socket.IO
Spry framework
Underscore.js
Template systems
Cascade Framework
jQuery Mobile
Mustache
Jinja-JS
Twig.js
Unit testing
Jasmine
Mocha
QUnit
Tape
Unit.js
"Web-application related (MVC, MVVM)"
AngularJS
Aurelia
Backbone.js
Cappuccino
Chaplin.js
Echo
Ember.js
Enyo
Ext JS
Google Web Toolkit
JavaScriptMVC
Knockout
Meteor
Mojito
MooTools
Node.js
Prototype JavaScript Framework
React
Rialto Toolkit
SproutCore
Vue.js
Wakanda Framework
Other
Modernizr
