Archillian
AssertJ
CasperJS
Concordion
Cucumber
DbUnit
Easyb
Galen Framework
Gauge
Hamcrest
H2
JBehave
JDave
JTest
JUnit
JWalk
MockFtpServer
Mockito
Nightwatch.js
PowerMock
Protractor
RedwoodHQ
Robot Framework
Sahi
Selenium RC
Selenium Webdriver
Selenium Grid
Serenity
Spring Test
TestNG
The Grinder
